pdb,total_sasa,rl
seq_000332_model_0.pdb,9406.4467976841,3.85391249584
seq_000333_model_0.pdb,9075.396737894456,3.91168123964
seq_000334_model_0.pdb,9206.263614706846,4.64975164078
seq_000335_model_0.pdb,9494.729324288772,4.6972385103
seq_000336_model_0.pdb,9649.680055350987,3.69333454029
seq_000337_model_0.pdb,9816.323275004395,5.24388706667
seq_000338_model_0.pdb,9773.281061804231,5.17295998278
seq_000339_model_0.pdb,8265.739642525581,3.59605853636
seq_000340_model_0.pdb,8755.460933375805,3.99705870693
seq_000341_model_0.pdb,9206.737547058903,7.56837875666
seq_000342_model_0.pdb,9386.55477884471,7.86394238708
seq_000343_model_0.pdb,9848.850329369092,3.85575966663
seq_000344_model_0.pdb,8687.766152977376,3.41927116197
seq_000345_model_0.pdb,9785.957540631394,3.04664906587
seq_000346_model_0.pdb,9483.539074782164,3.83658486504
seq_000347_model_0.pdb,9289.715783300117,2.99346109819
seq_000348_model_0.pdb,9809.300846749991,7.76601460546
seq_000349_model_0.pdb,9818.769625273051,3.0994873269
seq_000350_model_0.pdb,8909.194309592078,2.91367480942
seq_000351_model_0.pdb,8629.90335303371,2.98806924453
seq_000352_model_0.pdb,8831.334134807694,3.34082473905
seq_000353_model_0.pdb,9247.268949801157,4.98907456172
seq_000354_model_0.pdb,9174.696151733944,2.78761292772
seq_000355_model_0.pdb,9340.530942137795,2.77239216595
seq_000356_model_0.pdb,9127.357689406394,3.86199000139
seq_000357_model_0.pdb,9001.327830775637,3.12377996167
seq_000358_model_0.pdb,9625.284615132448,8.20645642727
seq_000359_model_0.pdb,8574.343487000831,3.02166629643
seq_000360_model_0.pdb,9555.03182411029,5.81417457755
seq_000361_model_0.pdb,8869.461597350943,3.09211303221
seq_000362_model_0.pdb,9216.652865894775,2.75739033492
seq_000363_model_0.pdb,9812.168101439349,6.31783125913
seq_000364_model_0.pdb,10273.136545518732,2.97672277372
seq_000365_model_0.pdb,9808.306320772495,7.97256140475
seq_000366_model_0.pdb,9835.93859308653,2.71758236768
seq_000367_model_0.pdb,9376.897247798635,7.6525890768
seq_000368_model_0.pdb,10132.008699149925,2.88579324601
seq_000369_model_0.pdb,9493.921274675497,8.05485635046
seq_000370_model_0.pdb,9579.575899528736,7.65390836142
seq_000371_model_0.pdb,9975.055341672884,3.74547958172
seq_000372_model_0.pdb,9210.810725836052,4.24228265822
seq_000373_model_0.pdb,9644.030657260091,4.3245441219
seq_000374_model_0.pdb,9467.263923903263,8.10659814142
seq_000375_model_0.pdb,9243.927957652902,3.22998902594
seq_000376_model_0.pdb,9430.95655562599,3.66063872987
seq_000377_model_0.pdb,9324.902309164154,4.05153149032
seq_000378_model_0.pdb,8538.770681228258,3.34378746076
seq_000379_model_0.pdb,9735.931945526389,5.26435165303
seq_000380_model_0.pdb,9527.761669447023,3.70422467107
seq_000381_model_0.pdb,9742.700910201194,3.40559192879
seq_000382_model_0.pdb,9095.481445755622,7.80061033548
