rl,E_relaxed
4.03397182668,-12331.5136646431
4.89016237969,-10525.7155292563
3.99957062774,-13793.0295702984
4.44084875973,-14617.2219343806
3.20149949742,-11972.3942204636
2.965181459,-9789.66409804197
4.7419382123,-9395.69273566761
8.12387121084,-9481.57624023221
4.3229552455,-13463.1420188246
4.18662328589,-13112.1254961548
3.80931236498,-11789.5251531525
4.53063984968,-11535.7272480783
3.8577598684,-11925.4405966925
7.029350695,-11861.43402455
3.09503546552,-10871.6913365757
4.70729287451,-12957.897703748
7.62221797249,-17437.6636129293
4.05552571702,-10349.3699803033
3.74976740859,-13691.3851240491
4.59993625741,-11321.3436908726
3.97202767894,-13292.073904879
4.09840307154,-11629.5004943407
2.98289943748,-11015.1245859488
4.88540677169,-12979.2253694515
3.39446758959,-15215.2257750965
4.02101519339,-8118.46321185338
2.80555202722,-12917.9684564465
3.35583540979,-13375.1813950103
3.161871388,-11322.8569114005
7.67782764352,-11558.6290566349
3.88502891295,-14469.8059424669
4.57244795579,-10403.3051404542
2.75856614521,-11280.5015384479
3.15302175758,-14527.9805681748
7.5713280122,-13220.4331241264
4.19850500769,1061150.90560622
2.78554074996,-12515.6520470858
8.27279431526,-11881.2305154705
3.69566442586,-10637.3454875524
3.46592964494,-9860.92812516643
5.76738048774,-13450.7586543894
2.87545576532,-14621.301934356
2.6536721968,-4280.75296318203
4.32656417506,-10919.4543847234
7.98833171733,-10931.2337587825
4.12936834973,-10481.6456730526
3.5190682386,-10397.6144040177
6.2428674891,-11320.8273076238
7.71037181016,-12184.1016484488
8.09469038658,-11244.7390706821
7.24942799413,-10085.2558414107
3.86361813075,-9099.29342353904
3.74964174554,1086609.28842555
3.04643865815,-11697.9546295433
3.02595202596,-11361.3911100803
